timestamp,speed,impact,duration,swing_type,new_label
143115,33.7,18.23,0.61,WEAK,WEAK
144799,44.68,23.32,0.57,MEDIUM,MEDIUM
146538,37.22,18.9,0.44,WEAK,WEAK
148431,35.81,18.75,0.56,WEAK,WEAK
150214,43.72,22.16,0.46,WEAK,MEDIUM
152151,30.54,20.56,0.63,WEAK,WEAK
154220,32.06,27.42,0.92,WEAK,WEAK
156069,31.36,22.32,0.66,WEAK,WEAK
157962,34.49,26.67,0.84,WEAK,WEAK
159756,30.12,24.51,0.79,WEAK,WEAK
161583,37.65,19.01,0.64,WEAK,WEAK
163641,34.59,20.93,1.23,WEAK,WEAK
165721,34.19,24.76,0.81,WEAK,WEAK
167141,38.54,28.37,0.48,WEAK,WEAK
169441,32.63,21.66,0.82,WEAK,WEAK
171158,31.04,25.01,0.66,WEAK,WEAK
173436,30.69,17.94,0.91,WEAK,WEAK
175054,25.39,16.54,0.57,WEAK,WEAK
176859,32.36,19.72,0.59,WEAK,WEAK
178488,31.96,19.9,0.64,WEAK,WEAK
180634,30.46,16.75,0.7,WEAK,WEAK
182516,31.81,19.88,0.67,WEAK,WEAK
184189,30.21,20.52,0.63,WEAK,WEAK
185796,34.93,21.09,0.54,WEAK,WEAK
187480,33.69,21.42,0.62,WEAK,WEAK
189494,32.35,21.96,0.8,WEAK,WEAK
191156,33.43,22.46,0.41,WEAK,WEAK
193269,35.78,21.95,0.71,WEAK,WEAK
195250,32.25,29.56,0.37,WEAK,WEAK
197033,33.43,25.28,0.47,WEAK,WEAK
198816,31.2,22.8,0.47,WEAK,WEAK
200379,32.58,19.67,0.33,WEAK,WEAK
202184,34.44,20.54,0.34,WEAK,WEAK
204033,32.68,18.14,0.34,WEAK,WEAK
207884,33.47,18.71,0.54,WEAK,WEAK
209612,39.6,24.39,0.44,WEAK,WEAK
211274,44.06,25.84,0.42,MEDIUM,MEDIUM
213222,35.22,19.76,0.57,WEAK,WEAK
215192,35.84,23.17,0.54,WEAK,WEAK
216997,38.88,22.32,0.45,WEAK,WEAK
218780,37.43,38.65,0.52,WEAK,MEDIUM
220156,42.45,41.66,0.55,WEAK,MEDIUM
221939,47.89,43.3,0.51,MEDIUM,MEDIUM
223623,50.92,42.14,0.51,STRONG,MEDIUM
225879,31.16,18.12,0.54,WEAK,WEAK
227618,45.1,25.14,0.59,MEDIUM,MEDIUM
229379,35.68,21.88,0.54,WEAK,WEAK
231316,37.8,20.37,0.52,WEAK,WEAK
233462,30.16,18.83,0.64,WEAK,WEAK
234849,31.69,26.77,0.37,WEAK,WEAK
236731,35.02,21.96,0.33,WEAK,WEAK
238371,36.84,25.65,0.34,WEAK,WEAK
240066,33.13,23.37,0.32,WEAK,WEAK
241816,34.47,25.05,0.36,WEAK,WEAK
243313,38.22,24.71,0.36,WEAK,WEAK
245151,31.6,17.28,0.81,WEAK,WEAK
246989,31.46,21.88,0.55,WEAK,WEAK
249289,33.18,20.63,1.01,WEAK,WEAK
250753,31.44,23.07,0.52,WEAK,WEAK
252580,31.26,19.26,0.56,WEAK,WEAK
254330,32.55,23.25,0.51,WEAK,WEAK
256135,33.26,23.95,0.62,WEAK,WEAK
258050,31.87,20.17,0.62,WEAK,WEAK
259899,31.48,21.96,0.63,WEAK,WEAK
261781,33.71,27.23,0.79,WEAK,WEAK
263586,31.31,21.36,1.17,WEAK,WEAK
265479,32.73,25.87,0.68,WEAK,WEAK
267317,43.89,23.48,0.9,WEAK,MEDIUM
269122,31.08,20.36,1.06,WEAK,WEAK
270982,30.33,23.5,0.69,WEAK,WEAK
272952,33.51,19.31,0.78,WEAK,WEAK
274328,41.75,27.92,0.51,WEAK,WEAK
7074,49.55,41.82,0.52,MEDIUM,MEDIUM
8395,49.54,41.71,0.35,MEDIUM,MEDIUM
9694,49.13,41.76,0.36,MEDIUM,MEDIUM
10916,40.3,40.75,0.34,WEAK,MEDIUM
13217,45.29,44.12,0.36,MEDIUM,MEDIUM
14494,45.36,45.82,0.36,MEDIUM,MEDIUM
15617,49.55,43.67,0.43,MEDIUM,MEDIUM
16531,54.55,43.45,0.4,STRONG,STRONG
20670,46.84,46.56,0.34,MEDIUM,MEDIUM
21914,44.63,42.54,0.33,MEDIUM,MEDIUM
23268,41.5,42.35,0.35,WEAK,MEDIUM
24567,46.62,40.62,0.4,MEDIUM,MEDIUM
25800,37.03,40.96,0.31,WEAK,MEDIUM
27176,45.07,42.2,0.38,MEDIUM,MEDIUM
28420,40.73,41.45,0.4,WEAK,MEDIUM
29730,46.1,43.13,0.4,MEDIUM,MEDIUM
31073,43.03,42.41,0.35,WEAK,MEDIUM
32262,42.95,42.16,0.36,WEAK,MEDIUM
33484,46.06,46.04,0.43,MEDIUM,MEDIUM
34618,39.58,43.42,0.38,WEAK,STRONG
35884,46.46,45.9,0.42,MEDIUM,MEDIUM
37172,48.49,41.19,0.37,MEDIUM,MEDIUM
38460,49.55,43.89,0.46,MEDIUM,MEDIUM
39594,40.07,42.67,0.46,WEAK,MEDIUM
40684,44.37,43.36,0.38,MEDIUM,MEDIUM
41818,39.08,41.93,0.42,WEAK,MEDIUM
42996,45.17,44.24,0.38,MEDIUM,MEDIUM
44163,45.85,44.05,0.41,MEDIUM,MEDIUM
45242,41.91,45.38,0.35,WEAK,STRONG
46497,42.82,41.12,0.54,WEAK,MEDIUM
49503,45.83,43.62,0.57,MEDIUM,MEDIUM
50483,45.32,43.57,0.35,MEDIUM,MEDIUM
51617,49.46,45.02,0.37,MEDIUM,MEDIUM
52696,45.1,42.85,0.45,MEDIUM,MEDIUM
53775,47.76,45.27,0.44,MEDIUM,MEDIUM
54755,44.49,44.69,0.48,MEDIUM,MEDIUM
55735,49.71,39.04,0.42,MEDIUM,MEDIUM
56704,47.38,42.93,0.43,MEDIUM,MEDIUM
57706,46.93,46.07,0.42,MEDIUM,MEDIUM
58763,42.6,45.64,0.37,WEAK,STRONG
59787,48.41,44.45,0.35,MEDIUM,MEDIUM
60778,45.66,44.18,0.35,MEDIUM,MEDIUM
61802,49.55,40.65,0.36,MEDIUM,MEDIUM
62760,45.18,42.83,0.4,MEDIUM,MEDIUM
63751,45.18,44.54,0.41,MEDIUM,MEDIUM
64709,44.49,40.57,0.37,MEDIUM,MEDIUM
65810,45.05,43.14,0.38,MEDIUM,MEDIUM
66823,42.3,41.59,0.38,WEAK,MEDIUM
67880,46.79,45.04,0.34,MEDIUM,MEDIUM
68915,46.53,44.15,0.4,MEDIUM,MEDIUM
69917,46.35,42.68,0.36,MEDIUM,MEDIUM
70886,40.31,42.65,0.38,WEAK,MEDIUM
71910,46.88,44.74,0.36,MEDIUM,MEDIUM
73011,45.64,46.15,0.36,MEDIUM,MEDIUM
74046,45.8,44.74,0.36,MEDIUM,MEDIUM
75147,49.55,45.71,0.43,MEDIUM,MEDIUM
76215,49.55,42.25,0.51,MEDIUM,MEDIUM
77173,54.55,42.53,0.55,STRONG,MEDIUM
78340,49.55,45.56,0.47,MEDIUM,MEDIUM
79408,49.55,44.53,0.44,MEDIUM,MEDIUM
80465,48.54,42.69,0.46,MEDIUM,MEDIUM
81577,47.88,42.32,0.61,MEDIUM,MEDIUM
82755,42.9,44.03,0.53,WEAK,STRONG
83680,48.13,42.07,0.38,MEDIUM,MEDIUM
84550,20.68,21.3,0.21,WEAK,WEAK
85277,45.27,41.58,0.32,MEDIUM,MEDIUM
86631,48.27,43.81,0.44,MEDIUM,MEDIUM
87798,49.55,43.48,0.5,MEDIUM,MEDIUM
88976,43.81,44.22,0.47,WEAK,MEDIUM
90088,49.55,42.97,0.41,MEDIUM,MEDIUM
91079,49.55,41.96,0.58,MEDIUM,MEDIUM
92477,54.13,44.44,0.57,STRONG,STRONG
93732,43.09,39.12,0.51,WEAK,MEDIUM
94954,45.59,42.67,0.5,MEDIUM,MEDIUM
96242,48.45,42.32,0.48,MEDIUM,MEDIUM
97508,45.65,42.26,0.56,MEDIUM,MEDIUM
98763,49.55,44.29,0.36,MEDIUM,MEDIUM
99974,45.15,45.74,0.43,MEDIUM,MEDIUM
101097,42.92,45.34,0.37,WEAK,STRONG
102330,44.63,44.77,0.35,MEDIUM,MEDIUM
103486,44.89,41.2,0.41,MEDIUM,MEDIUM
104576,34.81,42.04,0.38,WEAK,MEDIUM
111434,48.84,44.13,0.36,MEDIUM,MEDIUM
112667,45.16,40.75,0.36,MEDIUM,MEDIUM
113768,49.55,43.98,0.42,MEDIUM,MEDIUM
114858,49.55,44.26,0.41,MEDIUM,MEDIUM
115981,49.55,44.82,0.42,MEDIUM,MEDIUM
117082,43.6,42.1,0.46,WEAK,MEDIUM
118216,49.55,41.95,0.41,MEDIUM,MEDIUM
119372,49.55,42.27,0.42,MEDIUM,MEDIUM
120495,44.87,43.34,0.41,MEDIUM,MEDIUM
121607,44.4,43.87,0.45,MEDIUM,MEDIUM
123765,40.4,41.32,0.42,WEAK,MEDIUM
124778,45.07,45.04,0.38,MEDIUM,MEDIUM
134736,48.35,45.23,0.41,MEDIUM,MEDIUM
135859,42.93,41.9,0.41,WEAK,MEDIUM
137004,38.52,42.3,0.37,WEAK,MEDIUM
138028,45.08,43.25,0.36,MEDIUM,MEDIUM
139085,47.64,46.6,0.43,MEDIUM,MEDIUM
140120,46.61,42.11,0.36,MEDIUM,MEDIUM
141056,43.74,40.4,0.4,WEAK,MEDIUM
142058,52.7,43.65,0.37,STRONG,STRONG
146440,36.93,43.81,0.46,WEAK,STRONG
147497,49.99,45.33,0.45,MEDIUM,MEDIUM
148829,47.14,45.12,0.54,MEDIUM,MEDIUM
149897,44.38,42.0,0.46,MEDIUM,MEDIUM
150987,43.02,43.94,0.34,WEAK,MEDIUM
152099,50.45,43.84,0.35,MEDIUM,MEDIUM
167786,45.9,42.91,0.37,MEDIUM,MEDIUM
168909,49.69,42.81,0.41,MEDIUM,MEDIUM
169845,46.0,42.34,0.38,MEDIUM,MEDIUM
170759,50.34,42.8,0.37,MEDIUM,MEDIUM
171629,45.2,42.05,0.4,MEDIUM,MEDIUM
172532,45.86,41.88,0.41,MEDIUM,MEDIUM
173457,50.45,43.55,0.37,MEDIUM,MEDIUM
174382,45.08,42.4,0.36,MEDIUM,MEDIUM
175384,47.17,42.09,0.36,MEDIUM,MEDIUM
176331,50.43,42.38,0.46,MEDIUM,MEDIUM
177256,50.45,42.23,0.41,MEDIUM,MEDIUM
178159,48.35,42.26,0.37,MEDIUM,MEDIUM
179073,44.62,42.01,0.41,MEDIUM,MEDIUM
180009,42.11,42.13,0.5,WEAK,MEDIUM
180923,47.96,43.51,0.46,MEDIUM,MEDIUM
182167,47.26,42.02,0.4,MEDIUM,MEDIUM
183224,49.55,40.11,0.46,MEDIUM,MEDIUM
184171,45.31,41.91,0.5,MEDIUM,MEDIUM
185140,46.23,41.69,0.47,MEDIUM,MEDIUM
186098,50.45,42.24,0.47,MEDIUM,MEDIUM
187034,50.45,41.54,0.42,MEDIUM,MEDIUM
187948,45.76,42.04,0.42,MEDIUM,MEDIUM
188972,46.21,42.3,0.43,MEDIUM,MEDIUM
189908,45.1,41.97,0.47,MEDIUM,MEDIUM
190965,47.1,40.27,0.48,MEDIUM,MEDIUM
192605,49.55,39.83,0.36,MEDIUM,MEDIUM
193706,45.8,41.49,0.44,MEDIUM,MEDIUM
194697,47.6,45.73,0.41,MEDIUM,MEDIUM
195655,41.03,39.85,0.38,WEAK,MEDIUM
196613,38.01,41.37,0.41,WEAK,MEDIUM
197549,46.57,42.31,0.36,MEDIUM,MEDIUM
198463,38.28,41.59,0.35,WEAK,MEDIUM
199575,45.5,43.9,0.38,MEDIUM,MEDIUM
201017,47.34,46.25,0.37,MEDIUM,MEDIUM
202415,50.76,44.05,0.56,STRONG,MEDIUM
203725,49.55,44.12,0.57,MEDIUM,MEDIUM
205090,43.15,43.26,0.51,WEAK,MEDIUM
206279,40.93,44.88,0.59,WEAK,STRONG
209736,50.03,42.28,0.38,MEDIUM,MEDIUM
212015,46.95,42.48,0.46,MEDIUM,MEDIUM
215899,40.4,41.34,0.4,WEAK,MEDIUM
217165,49.76,42.3,0.41,MEDIUM,MEDIUM
218233,48.51,42.18,0.45,MEDIUM,MEDIUM
219631,48.48,43.14,0.64,MEDIUM,MEDIUM
220666,47.27,40.93,0.48,MEDIUM,MEDIUM
221800,50.45,43.43,0.48,MEDIUM,MEDIUM
222989,50.45,43.03,0.52,MEDIUM,MEDIUM
224200,50.45,43.73,0.38,MEDIUM,MEDIUM
225290,50.46,42.71,0.44,MEDIUM,MEDIUM
226490,40.25,42.58,0.4,WEAK,MEDIUM
231575,20.3,16.13,0.21,WEAK,WEAK
9296,41.65,41.6,0.3,MEDIUM,MEDIUM
10804,54.06,43.68,0.52,STRONG,STRONG
12136,53.48,43.01,0.56,STRONG,STRONG
13336,54.06,44.12,0.55,STRONG,STRONG
14525,54.06,43.51,0.61,STRONG,STRONG
15659,54.06,43.9,0.59,STRONG,STRONG
16793,54.06,43.93,0.59,STRONG,STRONG
17927,54.06,44.16,0.5,STRONG,STRONG
19105,54.06,44.46,0.56,STRONG,STRONG
20206,54.06,44.6,0.54,STRONG,STRONG
21362,54.06,43.44,0.55,STRONG,STRONG
28601,47.44,45.34,0.34,STRONG,MEDIUM
29834,54.06,44.61,0.51,STRONG,STRONG
30924,53.67,44.75,0.53,STRONG,STRONG
31915,54.06,44.59,0.52,STRONG,STRONG
32983,53.23,45.63,0.54,STRONG,STRONG
34029,54.06,42.3,0.48,STRONG,MEDIUM
35119,54.06,43.11,0.51,STRONG,STRONG
36099,54.06,45.38,0.51,STRONG,STRONG
37145,54.06,42.82,0.56,STRONG,MEDIUM
38136,48.87,43.21,0.58,STRONG,MEDIUM
39083,48.22,43.31,0.54,STRONG,MEDIUM
41648,51.05,43.0,0.55,MEDIUM,MEDIUM
42265,13.06,16.92,0.21,WEAK,WEAK
42893,26.76,27.99,0.22,WEAK,WEAK
44115,53.47,43.78,0.57,STRONG,STRONG
45183,49.2,43.06,0.61,STRONG,MEDIUM
46339,52.74,44.54,0.63,STRONG,STRONG
47341,44.94,44.88,0.44,STRONG,MEDIUM
48453,54.06,43.9,0.37,STRONG,STRONG
49521,50.42,43.88,0.37,STRONG,MEDIUM
50798,49.55,43.15,0.62,STRONG,MEDIUM
51822,53.68,45.54,0.53,STRONG,STRONG
52681,47.91,43.63,0.43,STRONG,MEDIUM
53683,46.76,43.66,0.36,STRONG,MEDIUM
54740,51.05,44.01,0.36,STRONG,MEDIUM
56006,50.42,42.1,0.76,MEDIUM,MEDIUM
56986,50.42,42.03,0.57,MEDIUM,MEDIUM
57955,54.01,45.52,0.52,STRONG,STRONG
58803,50.42,43.25,0.37,STRONG,MEDIUM
61114,48.24,41.17,0.51,MEDIUM,MEDIUM
62127,51.41,42.82,0.5,MEDIUM,MEDIUM
62920,54.06,44.42,0.37,STRONG,STRONG
64065,48.12,43.8,0.51,STRONG,MEDIUM
70754,27.17,23.44,5.45,WEAK,WEAK
72691,47.26,42.35,0.34,MEDIUM,MEDIUM
75101,41.69,41.45,0.35,MEDIUM,MEDIUM
76202,50.55,43.46,0.36,STRONG,MEDIUM
77908,54.06,43.23,0.37,STRONG,STRONG
78888,47.29,43.31,0.36,STRONG,MEDIUM
79769,49.25,42.18,0.36,MEDIUM,MEDIUM
80771,49.31,45.79,0.37,STRONG,MEDIUM
93249,48.9,43.65,0.47,STRONG,MEDIUM
94218,47.6,44.08,0.48,STRONG,MEDIUM
95143,49.75,41.82,0.51,MEDIUM,MEDIUM
96860,54.06,45.64,1.31,STRONG,STRONG
97763,49.55,42.87,0.37,MEDIUM,MEDIUM
98842,54.06,41.97,0.54,STRONG,MEDIUM
99789,52.51,41.96,0.54,STRONG,MEDIUM
100835,48.63,40.97,0.38,MEDIUM,MEDIUM
101859,52.41,41.84,0.4,STRONG,MEDIUM
123596,22.16,16.91,20.49,WEAK,WEAK
127491,51.76,43.01,0.36,STRONG,MEDIUM
128614,44.1,42.32,0.38,MEDIUM,MEDIUM
129902,44.34,42.46,0.37,MEDIUM,MEDIUM
131102,21.1,17.11,0.21,WEAK,WEAK
136878,48.79,44.32,0.37,STRONG,MEDIUM
137957,46.68,43.84,0.4,STRONG,MEDIUM
142600,41.36,40.71,0.38,MEDIUM,MEDIUM
143987,45.31,42.92,0.4,MEDIUM,MEDIUM
151691,44.95,43.04,0.36,STRONG,MEDIUM
152759,44.77,41.19,0.4,MEDIUM,MEDIUM
153728,52.25,42.14,0.4,STRONG,MEDIUM
154763,51.19,42.46,0.43,MEDIUM,MEDIUM
155897,51.3,41.46,0.42,MEDIUM,MEDIUM
164478,33.46,24.31,6.99,WEAK,WEAK
166679,53.4,41.72,0.37,STRONG,MEDIUM
167648,49.08,41.99,0.38,MEDIUM,MEDIUM
174295,45.95,44.25,0.56,STRONG,MEDIUM
176067,46.86,42.47,0.57,MEDIUM,MEDIUM
177234,48.32,43.34,0.42,STRONG,MEDIUM
