timestamp,speed,impact,duration,swing_type
119372,49.55,42.27,0.42,MEDIUM
120495,44.87,43.34,0.41,MEDIUM
121607,44.40,43.87,0.45,MEDIUM
123765,40.40,41.32,0.42,WEAK
124778,45.07,45.04,0.38,MEDIUM
134736,48.35,45.23,0.41,MEDIUM
135859,42.93,41.90,0.41,WEAK
137004,38.52,42.30,0.37,WEAK
138028,45.08,43.25,0.36,MEDIUM
139085,47.64,46.60,0.43,MEDIUM
140120,46.61,42.11,0.36,MEDIUM
141056,43.74,40.40,0.40,WEAK
142058,52.70,43.65,0.37,STRONG
146440,36.93,43.81,0.46,WEAK
147497,49.99,45.33,0.45,MEDIUM
148829,47.14,45.12,0.54,MEDIUM
149897,44.38,42.00,0.46,MEDIUM
150987,43.02,43.94,0.34,WEAK
152099,50.45,43.84,0.35,MEDIUM
167786,45.90,42.91,0.37,MEDIUM
168909,49.69,42.81,0.41,MEDIUM
169845,46.00,42.34,0.38,MEDIUM
170759,50.34,42.80,0.37,MEDIUM
171629,45.20,42.05,0.40,MEDIUM
172532,45.86,41.88,0.41,MEDIUM
173457,50.45,43.55,0.37,MEDIUM
174382,45.08,42.40,0.36,MEDIUM
175384,47.17,42.09,0.36,MEDIUM
176331,50.43,42.38,0.46,MEDIUM
177256,50.45,42.23,0.41,MEDIUM
178159,48.35,42.26,0.37,MEDIUM
179073,44.62,42.01,0.41,MEDIUM
180009,42.11,42.13,0.50,WEAK
180923,47.96,43.51,0.46,MEDIUM
182167,47.26,42.02,0.40,MEDIUM
183224,49.55,40.11,0.46,MEDIUM
184171,45.31,41.91,0.50,MEDIUM
185140,46.23,41.69,0.47,MEDIUM
186098,50.45,42.24,0.47,MEDIUM
187034,50.45,41.54,0.42,MEDIUM
187948,45.76,42.04,0.42,MEDIUM
188972,46.21,42.30,0.43,MEDIUM
189908,45.10,41.97,0.47,MEDIUM
190965,47.10,40.27,0.48,MEDIUM
192605,49.55,39.83,0.36,MEDIUM
193706,45.80,41.49,0.44,MEDIUM
194697,47.60,45.73,0.41,MEDIUM
195655,41.03,39.85,0.38,WEAK
196613,38.01,41.37,0.41,WEAK
197549,46.57,42.31,0.36,MEDIUM
198463,38.28,41.59,0.35,WEAK
199575,45.50,43.90,0.38,MEDIUM
201017,47.34,46.25,0.37,MEDIUM
202415,50.76,44.05,0.56,STRONG
203725,49.55,44.12,0.57,MEDIUM
205090,43.15,43.26,0.51,WEAK
206279,40.93,44.88,0.59,WEAK
209736,50.03,42.28,0.38,MEDIUM
212015,46.95,42.48,0.46,MEDIUM
215899,40.40,41.34,0.40,WEAK
217165,49.76,42.30,0.41,MEDIUM
218233,48.51,42.18,0.45,MEDIUM
219631,48.48,43.14,0.64,MEDIUM
220666,47.27,40.93,0.48,MEDIUM
221800,50.45,43.43,0.48,MEDIUM
222989,50.45,43.03,0.52,MEDIUM
224200,50.45,43.73,0.38,MEDIUM
225290,50.46,42.71,0.44,MEDIUM
226490,40.25,42.58,0.40,WEAK
231575,20.30,16.13,0.21,WEAK
