sno,timestamp,swing_count,ax,ay,az,gx,gy,gz,speed,impact,duration,validity,stroke_type,intensity
87,356992,87,0.59,-0.28,-0.69,25.18,16.79,32.98,65.79,32.86,0.69,INVALID,NONE,STRONG
88,362068,88,0.38,-0.11,-1.64,-11.58,-6.32,-35.20,65.08,37.59,0.59,INVALID,NONE,STRONG
89,363994,89,0.78,-0.23,-0.97,44.02,21.67,-33.49,60.63,37.66,1.18,INVALID,NONE,STRONG
90,367532,90,-0.67,0.38,-1.10,-38.29,-29.67,1.69,70.62,37.81,0.43,INVALID,NONE,STRONG
91,369508,91,0.45,-0.37,-0.59,54.39,-5.65,24.56,75.32,38.40,0.58,INVALID,NONE,STRONG
92,371465,92,-0.59,-0.52,-1.16,-46.89,-32.84,12.61,67.54,37.51,0.53,INVALID,NONE,STRONG
93,373289,93,-0.24,-0.48,-0.37,-10.00,-50.65,-1.05,70.16,38.44,0.50,INVALID,NONE,STRONG
94,375033,94,-0.47,-0.33,-1.01,-49.51,2.89,-12.21,65.58,39.72,0.54,INVALID,NONE,STRONG
95,376830,95,-0.74,-0.27,-1.00,12.07,-36.50,6.76,64.58,37.20,1.14,INVALID,NONE,STRONG
96,380165,96,0.16,-0.40,-0.92,7.99,-38.45,25.23,71.35,37.61,0.67,INVALID,NONE,STRONG
97,387168,97,0.28,-0.75,-0.61,13.17,12.77,54.87,61.24,37.26,1.02,INVALID,NONE,STRONG
98,388423,98,-0.53,-0.42,-0.80,-3.96,33.13,-25.50,60.82,38.46,0.50,INVALID,NONE,STRONG
99,393788,99,0.70,-0.24,-0.96,43.35,-32.42,-10.68,63.81,35.01,0.65,INVALID,NONE,STRONG
100,401544,100,-0.06,0.05,-0.79,-6.58,-21.38,33.65,66.32,38.30,0.87,INVALID,NONE,STRONG
