speed,impact,duration,new_label,power,efficiency
32.93,21.06,0.56,WEAK,693.5057999999999,37.60707570165052
32.86,20.94,0.42,WEAK,688.0884,49.85702414994251
40.92,24.16,0.8,WEAK,988.6272,30.199962250047186
35.38,26.9,0.66,WEAK,951.722,40.75751400376666
32.55,20.49,1.0,WEAK,666.9495,20.48997951002049
38.28,28.79,1.15,WEAK,1102.0812,25.034760839338404
40.29,27.78,0.47,WEAK,1119.2562,59.106257220729326
31.62,28.94,0.51,WEAK,915.0828,56.74498677453573
37.59,23.12,0.35,WEAK,869.0808000000001,66.05695412298823
43.06,25.79,0.73,MEDIUM,1110.5174,35.328718727782565
36.75,28.78,0.64,WEAK,1057.665,44.96867973643791
41.94,37.97,0.55,MEDIUM,1592.4617999999998,69.03623811593069
33.38,29.56,0.21,WEAK,986.7128,140.76123447031205
32.51,38.92,0.31,MEDIUM,1265.2892,125.54798210328356
49.56,35.49,0.58,MEDIUM,1758.8844000000001,61.18954967319022
51.69,26.86,0.55,MEDIUM,1388.3934,48.83627484313664
42.36,25.13,0.46,WEAK,1064.5067999999999,54.630316021052124
34.89,28.27,0.42,WEAK,986.3403,67.30936354913442
31.27,30.68,0.42,WEAK,959.3636,73.04744512513066
47.43,30.74,0.44,MEDIUM,1457.9982,69.86347758300549
38.47,22.54,0.51,WEAK,867.1138,44.195991772565144
43.84,25.01,1.24,MEDIUM,1096.4384000000002,20.169338573114057
40.66,22.46,0.46,WEAK,913.2235999999999,48.82598081308519
31.58,26.9,0.98,WEAK,849.502,27.448951582702463
33.0,27.96,0.85,WEAK,922.6800000000001,32.894078948142415
30.71,25.57,0.85,WEAK,785.2547000000001,30.082317550214647
32.96,24.33,0.79,WEAK,801.9168,30.797429370342563
50.16,29.67,0.37,MEDIUM,1488.2472,80.1889724622366
44.91,27.21,0.56,MEDIUM,1222.0011,48.58919894785902
35.49,20.21,0.53,WEAK,717.2529000000001,38.13200352452165
43.28,23.0,0.48,MEDIUM,995.44,47.91656684048576
43.45,23.98,0.5,MEDIUM,1041.931,47.95990408019184
45.7,23.73,0.48,MEDIUM,1084.461,49.43739700542291
44.56,23.08,0.45,MEDIUM,1028.4448,51.28877491383352
45.85,22.77,0.5,MEDIUM,1044.0045,45.53990892018216
33.7,18.23,0.61,WEAK,614.3510000000001,29.88519690951326
44.68,23.32,0.57,MEDIUM,1041.9376,40.91220892594925
37.22,18.9,0.44,WEAK,703.458,42.95444783080038
35.81,18.75,0.56,WEAK,671.4375,33.4820830677088
43.72,22.16,0.46,MEDIUM,968.8352,48.173808317808
30.54,20.56,0.63,WEAK,627.9024,32.63486883354153
32.06,27.42,0.92,WEAK,879.0852000000001,29.804315430091922
31.36,22.32,0.66,WEAK,699.9552,33.81813057859003
34.49,26.67,0.84,WEAK,919.8483000000001,31.74996220242595
30.12,24.51,0.79,WEAK,738.2412,31.025277183193438
37.65,19.01,0.64,WEAK,715.7265,29.703078588939704
34.59,20.93,1.23,WEAK,723.9687,17.01624632825502
34.19,24.76,0.81,WEAK,846.5444,30.567863496464817
38.54,28.37,0.48,WEAK,1093.3798,59.104043533242645
32.63,21.66,0.82,WEAK,706.7658,26.41460193341228
31.04,25.01,0.66,WEAK,776.3104000000001,37.8938819789667
30.69,17.94,0.91,WEAK,550.5786,19.714264050259285
25.39,16.54,0.57,WEAK,419.9506,29.01749295176675
32.36,19.72,0.59,WEAK,638.1392,33.42367216326752
31.96,19.9,0.64,WEAK,636.004,31.093701416091534
30.46,16.75,0.7,WEAK,510.20500000000004,23.928537244946792
31.81,19.88,0.67,WEAK,632.3828,29.671597505078346
30.21,20.52,0.63,WEAK,619.9092,32.57137687083036
34.93,21.09,0.54,WEAK,736.6736999999999,39.0554832305866
33.69,21.42,0.62,WEAK,721.6398,34.548331373659074
32.35,21.96,0.8,WEAK,710.4060000000001,27.44996568754289
33.43,22.46,0.41,WEAK,750.8378,54.780354194258074
35.78,21.95,0.71,WEAK,785.371,30.915449414859978
32.25,29.56,0.37,WEAK,953.31,79.89167596844334
33.43,25.28,0.47,WEAK,845.1104,53.787119601873194
31.2,22.8,0.47,WEAK,711.36,48.510535083967916
32.58,19.67,0.33,WEAK,640.8486,59.60587998218188
34.44,20.54,0.34,WEAK,707.3975999999999,60.411587024744044
32.68,18.14,0.34,WEAK,592.8152,53.3527842565169
33.47,18.71,0.54,WEAK,626.2237,34.64808398502966
39.6,24.39,0.44,WEAK,965.844,55.43169220069955
44.06,25.84,0.42,MEDIUM,1138.5104000000001,61.52366303889753
35.22,19.76,0.57,WEAK,695.9472000000001,34.666605848059916
35.84,23.17,0.54,WEAK,830.4128000000002,42.90732794939269
38.88,22.32,0.45,WEAK,867.8016000000001,49.59988977802272
37.43,38.65,0.52,MEDIUM,1446.6695,74.32678014080741
42.45,41.66,0.55,MEDIUM,1768.4669999999999,75.74531682669667
47.89,43.3,0.51,STRONG,2073.6369999999997,84.90179431020722
50.92,42.14,0.51,MEDIUM,2145.7688000000003,82.62728896610007
31.16,18.12,0.54,WEAK,564.6192,33.555493415752935
45.1,25.14,0.59,MEDIUM,1133.814,42.61009727102157
35.68,21.88,0.54,WEAK,780.6784,40.518443484363914
37.8,20.37,0.52,WEAK,769.986,39.17300159038155
30.16,18.83,0.64,WEAK,567.9128,29.42182902839214
31.69,26.77,0.37,WEAK,848.3413,72.35115580768701
35.02,21.96,0.33,WEAK,769.0392,66.54525289317306
36.84,25.65,0.34,WEAK,944.946,75.44095458542769
33.13,23.37,0.32,WEAK,774.2481000000001,73.03102177805695
34.47,25.05,0.36,WEAK,863.4735,69.58314004683321
38.22,24.71,0.36,WEAK,944.4162,68.63869822583827
31.6,17.28,0.81,WEAK,546.0480000000001,21.333306995917287
31.46,21.88,0.55,WEAK,688.3448,39.78174585137117
33.18,20.63,1.01,WEAK,684.5033999999999,20.42572235076995
31.44,23.07,0.52,WEAK,725.3208000000001,44.365299297501345
31.26,19.26,0.56,WEAK,602.0676000000001,34.392795727150485
32.55,23.25,0.51,WEAK,756.7874999999999,45.588145905596264
33.26,23.95,0.62,WEAK,796.5769999999999,38.628969953274265
31.87,20.17,0.62,WEAK,642.8179000000001,32.53220559321679
31.48,21.96,0.63,WEAK,691.3008,34.857087528432494
33.71,27.23,0.79,WEAK,917.9233,34.46831079960658
31.31,21.36,1.17,WEAK,668.7815999999999,18.256394652654144
32.73,25.87,0.68,WEAK,846.7251,38.044061699909264
43.89,23.48,0.9,MEDIUM,1030.5372,26.088859901266776
31.08,20.36,1.06,WEAK,632.7887999999999,19.207529049500895
30.33,23.5,0.69,WEAK,712.755,34.05792165518601
33.51,19.31,0.78,WEAK,647.0781,24.756378517463435
41.75,27.92,0.51,WEAK,1165.66,54.74499069609667
49.55,41.82,0.52,MEDIUM,2072.181,80.42292226361103
49.54,41.71,0.35,MEDIUM,2066.3134,119.1710880826055
49.13,41.76,0.36,MEDIUM,2051.6688,115.99967777867285
40.3,40.75,0.34,MEDIUM,1642.225,119.85258866885685
45.29,44.12,0.36,STRONG,1998.1947999999998,122.55521512440244
45.36,45.82,0.36,STRONG,2078.3952,127.27742422937716
49.55,43.67,0.43,STRONG,2163.8485,101.55790335371314
54.55,43.45,0.4,STRONG,2370.1975,108.62472843817892
46.84,46.56,0.34,STRONG,2180.8704000000002,136.94077370360677
44.63,42.54,0.33,MEDIUM,1898.5602000000001,128.90870027666583
41.5,42.35,0.35,MEDIUM,1757.525,120.99965428670205
46.62,40.62,0.4,MEDIUM,1893.7043999999999,101.54974612563468
37.03,40.96,0.31,MEDIUM,1516.7488,132.12860603675475
45.07,42.2,0.38,MEDIUM,1901.9540000000002,111.05233933594913
40.73,41.45,0.4,MEDIUM,1688.2585,103.62474093814767
46.1,43.13,0.4,STRONG,1988.2930000000001,107.82473043817392
43.03,42.41,0.35,MEDIUM,1824.9023,121.1710823683361
42.95,42.16,0.36,MEDIUM,1810.772,117.11078580337278
46.06,46.04,0.43,STRONG,2120.6024,107.06951844298037
39.58,43.42,0.38,STRONG,1718.5636,114.26285720300737
46.46,45.9,0.42,STRONG,2132.514,109.28545408225219
48.49,41.19,0.37,MEDIUM,1997.3030999999999,111.32402344858528
49.55,43.89,0.46,STRONG,2174.7495,95.41283605905205
40.07,42.67,0.46,MEDIUM,1709.7869,92.7606679115915
44.37,43.36,0.38,STRONG,1923.8831999999998,114.10496288167663
39.08,41.93,0.42,MEDIUM,1638.6244,99.83309563548659
45.17,44.24,0.38,STRONG,1998.3208000000002,116.42074626119407
45.85,44.05,0.41,STRONG,2019.6924999999999,107.43876234448209
41.91,45.38,0.35,STRONG,1901.8758,129.6567724092217
42.82,41.12,0.54,MEDIUM,1760.7584,76.1480071333201
45.83,43.62,0.57,STRONG,1999.1046,76.52618153301485
45.32,43.57,0.35,STRONG,1974.5924,124.48535861326113
49.46,45.02,0.37,STRONG,2226.6892000000003,121.67534682338699
45.1,42.85,0.45,MEDIUM,1932.535,95.2220106177542
47.76,45.27,0.44,STRONG,2162.0952,102.88612980425046
44.49,44.69,0.48,STRONG,1988.2581,93.10397270005687
49.71,39.04,0.42,MEDIUM,1940.6784,92.95215963771516
47.38,42.93,0.43,MEDIUM,2034.0234,99.83697712330903
46.93,46.07,0.42,STRONG,2162.0651,109.69021502329757
42.6,45.64,0.37,STRONG,1944.2640000000001,123.35101797022172
48.41,44.45,0.35,STRONG,2151.8245,126.9996371438939
45.66,44.18,0.35,STRONG,2017.2587999999998,126.22821077654065
49.55,40.65,0.36,MEDIUM,2014.2074999999998,112.91635301013054
45.18,42.83,0.4,MEDIUM,1935.0593999999999,107.0747323131692
45.18,44.54,0.41,STRONG,2012.3172,108.63388138077713
44.49,40.57,0.37,MEDIUM,1804.9593,109.64835230175055
45.05,43.14,0.38,STRONG,1943.4569999999999,113.52601703679728
42.3,41.59,0.38,MEDIUM,1759.257,109.44708040242001
46.79,45.04,0.34,STRONG,2107.4216,132.4701986170629
46.53,44.15,0.4,STRONG,2054.2995,110.37472406318984
46.35,42.68,0.36,MEDIUM,1978.218,118.55522623548269
40.31,42.65,0.38,MEDIUM,1719.2215,112.23654674592962
46.88,44.74,0.36,STRONG,2097.4112,124.27743256268735
45.64,46.15,0.36,STRONG,2106.286,128.1940883497546
45.8,44.74,0.36,STRONG,2049.092,124.27743256268735
49.55,45.71,0.43,STRONG,2264.9305,106.30207836725963
49.55,42.25,0.51,MEDIUM,2093.4874999999997,82.84297481769643
54.55,42.53,0.55,STRONG,2320.0115,77.32713213248702
49.55,45.56,0.47,STRONG,2257.498,96.93596396603414
49.55,44.53,0.44,STRONG,2206.4615,101.20431544473763
48.54,42.69,0.46,MEDIUM,2072.1726,92.8041460779433
47.88,42.32,0.61,MEDIUM,2026.2816,69.3769354476468
42.9,44.03,0.53,STRONG,1888.887,83.07531495223593
48.13,42.07,0.38,MEDIUM,2024.8291000000002,110.71023497306587
20.68,21.3,0.21,WEAK,440.484,101.42808843767412
45.27,41.58,0.32,MEDIUM,1882.3266,129.93709394658143
48.27,43.81,0.44,STRONG,2114.7087,99.56795552737381
49.55,43.48,0.5,STRONG,2154.4339999999997,86.95982608034782
43.81,44.22,0.47,STRONG,1937.2782,94.08490620232723
49.55,42.97,0.41,MEDIUM,2129.1634999999997,104.80462242775019
49.55,41.96,0.58,MEDIUM,2079.118,72.3447028539606
54.13,44.44,0.57,STRONG,2405.5372,77.96477550039386
43.09,39.12,0.51,MEDIUM,1685.6808,76.70573194954518
45.59,42.67,0.5,MEDIUM,1945.3253000000002,85.33982932034135
48.45,42.32,0.48,MEDIUM,2050.404,88.16648298649379
45.65,42.26,0.56,MEDIUM,1929.1689999999999,75.46415095687328
49.55,44.29,0.36,STRONG,2194.5694999999996,123.02743603489992
45.15,45.74,0.43,STRONG,2065.161,106.3718456468706
42.92,45.34,0.37,STRONG,1945.9928000000002,122.54020935078556
44.63,44.77,0.35,STRONG,1998.0851000000002,127.91392024594218
44.89,41.2,0.41,MEDIUM,1849.468,100.48755978643956
34.81,42.04,0.38,MEDIUM,1463.4124000000002,110.6312878124005
48.84,44.13,0.36,STRONG,2155.3092,122.58299282501996
45.16,40.75,0.36,MEDIUM,1840.2699999999998,113.19413001630552
49.55,43.98,0.42,STRONG,2179.209,104.71403639515144
49.55,44.26,0.41,STRONG,2193.0829999999996,107.95095621717996
49.55,44.82,0.42,STRONG,2220.8309999999997,106.71403163325803
43.6,42.1,0.46,MEDIUM,1835.5600000000002,91.52154017056485
49.55,41.95,0.41,MEDIUM,2078.6225,102.31682361750339
49.55,42.27,0.42,MEDIUM,2094.4785,100.64261751757736
44.87,43.34,0.41,STRONG,1944.6658,105.70705925107502
44.4,43.87,0.45,STRONG,1947.8279999999997,97.488672247395
40.4,41.32,0.42,MEDIUM,1669.328,98.3807181411473
45.07,45.04,0.38,STRONG,2029.9528,118.52600387893716
48.35,45.23,0.41,STRONG,2186.8705,110.31680410535584
42.93,41.9,0.41,MEDIUM,1798.7669999999998,102.19487269543247
38.52,42.3,0.37,MEDIUM,1629.396,114.32401534049909
45.08,43.25,0.36,STRONG,1949.71,120.13855517068009
47.64,46.6,0.43,STRONG,2220.024,108.37184099571863
46.61,42.11,0.36,MEDIUM,1962.7471,116.97189730028529
43.74,40.4,0.4,MEDIUM,1767.096,100.99974750063124
52.7,43.65,0.37,STRONG,2300.355,117.97265412796182
36.93,43.81,0.46,STRONG,1617.9033000000002,95.2389233936448
49.99,45.33,0.45,STRONG,2266.0467,100.73310948197893
47.14,45.12,0.54,STRONG,2126.9568,83.5554008233318
44.38,42.0,0.46,MEDIUM,1863.96,91.30414933880579
43.02,43.94,0.34,STRONG,1890.2988,129.23491401495878
50.45,43.84,0.35,STRONG,2211.7280000000005,125.25678498061437
45.9,42.91,0.37,MEDIUM,1969.5689999999997,115.97265953335261
49.69,42.81,0.41,MEDIUM,2127.2289,104.41437947712325
46.0,42.34,0.38,MEDIUM,1947.64,111.42075941905418
50.34,42.8,0.37,MEDIUM,2154.552,115.67536303955936
45.2,42.05,0.4,MEDIUM,1900.66,105.12473718815703
45.86,41.88,0.41,MEDIUM,1920.6168,102.1460923266041
50.45,43.55,0.37,STRONG,2197.0975,117.70238458814977
45.08,42.4,0.36,MEDIUM,1911.3919999999998,117.77745061819273
47.17,42.09,0.36,MEDIUM,1985.3853000000001,116.91634189905031
50.43,42.38,0.46,MEDIUM,2137.2234000000003,92.13023449949023
50.45,42.23,0.41,MEDIUM,2130.5035,102.99974878110054
48.35,42.26,0.37,MEDIUM,2043.271,114.21590752457426
44.62,42.01,0.41,MEDIUM,1874.4861999999998,102.46316472398848
42.11,42.13,0.5,MEDIUM,1774.0943,84.25983148033704
47.96,43.51,0.46,STRONG,2086.7396,94.58675089836761
47.26,42.02,0.4,MEDIUM,1985.8652,105.04973737565658
49.55,40.11,0.46,MEDIUM,1987.4505,87.19546261855953
45.31,41.91,0.5,MEDIUM,1898.9421,83.81983236033527
46.23,41.69,0.47,MEDIUM,1927.3286999999998,88.70193893204483
50.45,42.24,0.47,MEDIUM,2131.0080000000003,89.87214920819319
50.45,41.54,0.42,MEDIUM,2095.693,98.90452641779424
45.76,42.04,0.42,MEDIUM,1923.7504,100.09499977381007
46.21,42.3,0.43,MEDIUM,1954.683,98.37186425147848
45.1,41.97,0.47,MEDIUM,1892.847,89.29768234535672
47.1,40.27,0.48,MEDIUM,1896.717,83.89565855071136
49.55,39.83,0.36,MEDIUM,1973.5765,110.63858155949568
45.8,41.49,0.44,MEDIUM,1900.242,94.29524023809037
47.6,45.73,0.41,STRONG,2176.748,111.53631332606507
41.03,39.85,0.38,MEDIUM,1635.0455000000002,104.86814508382874
38.01,41.37,0.41,MEDIUM,1572.4736999999998,100.90219292148069
46.57,42.31,0.36,MEDIUM,1970.3767,117.52745131263526
38.28,41.59,0.35,MEDIUM,1592.0652000000002,118.8282319193374
45.5,43.9,0.38,STRONG,1997.45,115.52601177365322
47.34,46.25,0.37,STRONG,2189.4750000000004,124.99966216307524
50.76,44.05,0.56,STRONG,2235.9779999999996,78.66057382040387
49.55,44.12,0.57,STRONG,2186.1459999999997,77.40337297653863
43.15,43.26,0.51,STRONG,1866.6689999999999,84.8233630914449
40.93,44.88,0.59,STRONG,1836.9384,76.06766768191919
50.03,42.28,0.38,MEDIUM,2115.2684,111.26286509772343
46.95,42.48,0.46,MEDIUM,1994.436,92.34762533124928
40.4,41.34,0.4,MEDIUM,1670.136,103.34974162564595
49.76,42.3,0.41,MEDIUM,2104.848,103.17048007199983
48.51,42.18,0.45,MEDIUM,2046.1517999999999,93.73312503749992
48.48,43.14,0.64,STRONG,2091.4272,67.40614467789894
47.27,40.93,0.48,MEDIUM,1934.7611000000002,85.27065568613399
50.45,43.43,0.48,STRONG,2191.0435,90.47897816879549
50.45,43.03,0.52,STRONG,2170.8635000000004,82.74984086569064
50.45,43.73,0.38,STRONG,2206.1785,115.07864452988281
50.46,42.71,0.44,MEDIUM,2155.1466,97.06796120917907
40.25,42.58,0.4,MEDIUM,1713.845,106.4497338756653
20.3,16.13,0.21,WEAK,327.43899999999996,76.80915805162833
41.65,41.6,0.3,MEDIUM,1732.64,138.66620444598522
54.06,43.68,0.52,STRONG,2361.3408,83.99983846184911
53.48,43.01,0.56,STRONG,2300.1748,76.80343427958162
54.06,44.12,0.55,STRONG,2385.1272,80.21803596720731
54.06,43.51,0.61,STRONG,2352.1506,71.32775192171816
54.06,43.9,0.59,STRONG,2373.234,74.40665354804483
54.06,43.93,0.59,STRONG,2374.8558000000003,74.45750091948997
54.06,44.16,0.5,STRONG,2387.2896,88.31982336035327
54.06,44.46,0.56,STRONG,2403.5076000000004,79.39271537015111
54.06,44.6,0.54,STRONG,2411.076,82.59243964363029
54.06,43.44,0.55,STRONG,2348.3664,78.98167457877348
47.44,45.34,0.34,STRONG,2150.9296,133.3525489630913
54.06,44.61,0.51,STRONG,2411.6166000000003,87.47041672467309
53.67,44.75,0.53,STRONG,2401.7325,84.43380295508875
54.06,44.59,0.52,STRONG,2410.5354,85.74983509647096
53.23,45.63,0.54,STRONG,2428.8849,84.49984351880829
54.06,42.3,0.48,STRONG,2286.738,88.12481640663249
54.06,43.11,0.51,STRONG,2330.5266,84.52924602108622
54.06,45.38,0.51,STRONG,2453.2428000000004,88.98021768584768
54.06,42.82,0.56,STRONG,2314.8492,76.46414917116218
48.87,43.21,0.58,STRONG,2111.6727,74.4998715519456
48.22,43.31,0.54,STRONG,2088.4082,80.20355517860152
51.05,43.0,0.55,STRONG,2195.15,78.1816760333163
13.06,16.92,0.21,WEAK,220.97520000000003,80.5710448997862
26.76,27.99,0.22,WEAK,749.0124,127.22669442411625
53.47,43.78,0.57,STRONG,2340.9166,76.80688279494247
49.2,43.06,0.61,STRONG,2118.552,70.59004821303571
52.74,44.54,0.63,STRONG,2349.0396,70.69830047888813
44.94,44.88,0.44,STRONG,2016.9072,101.99976818234505
54.06,43.9,0.37,STRONG,2373.234,118.64832797749196
50.42,43.88,0.37,STRONG,2212.4296000000004,118.59427406952956
49.55,43.15,0.62,STRONG,2138.0825,69.59666194086783
53.68,45.54,0.53,STRONG,2444.5872,85.92436618044115
47.91,43.63,0.43,STRONG,2090.3133,101.46488031423183
46.76,43.66,0.36,STRONG,2041.5415999999998,121.27744089599751
51.05,44.01,0.36,STRONG,2246.7104999999997,122.24966041760996
50.42,42.1,0.76,MEDIUM,2122.6820000000002,55.394663954389536
50.42,42.03,0.57,MEDIUM,2119.1526000000003,73.73671274260923
54.01,45.52,0.52,STRONG,2458.5352000000003,87.53829319559
50.42,43.25,0.37,STRONG,2180.665,116.89157596871361
48.24,41.17,0.51,MEDIUM,1986.0408000000002,80.7253319111139
51.41,42.82,0.5,MEDIUM,2201.3761999999997,85.63982872034255
54.06,44.42,0.37,STRONG,2401.3452,120.05372958451466
48.12,43.8,0.51,STRONG,2107.656,85.88218454473618
27.17,23.44,5.45,WEAK,636.8648000000001,4.300916642033644
47.26,42.35,0.34,MEDIUM,2001.461,124.5584571810083
41.69,41.45,0.35,MEDIUM,1728.0505,118.42823306219128
50.55,43.46,0.36,STRONG,2196.903,120.72188688364756
54.06,43.23,0.37,STRONG,2337.0137999999997,116.83752206075118
47.29,43.31,0.36,STRONG,2048.1299,120.30522137438508
49.25,42.18,0.36,MEDIUM,2077.365,117.16634120460778
49.31,45.79,0.37,STRONG,2257.9049,123.7564222799398
48.9,43.65,0.47,STRONG,2134.4849999999997,92.87214282522804
47.6,44.08,0.48,STRONG,2098.208,91.83314201428747
49.75,41.82,0.51,MEDIUM,2080.545,81.99983921600153
54.06,45.64,1.31,STRONG,2467.2984,34.839668061322094
49.55,42.87,0.37,MEDIUM,2124.2084999999997,115.86455171742779
54.06,41.97,0.54,STRONG,2268.8982,77.72207829244759
52.51,41.96,0.54,STRONG,2203.3196,77.70355980822256
48.63,40.97,0.38,MEDIUM,1992.3711,107.81550574866908
52.41,41.84,0.4,STRONG,2192.8344,104.59973850065376
22.16,16.91,20.49,WEAK,374.7256,0.8252805844177362
51.76,43.01,0.36,STRONG,2226.1976,119.47189035586013
44.1,42.32,0.38,MEDIUM,1866.3120000000001,111.36812797861059
44.34,42.46,0.37,MEDIUM,1882.6764000000003,114.75644660419837
21.1,17.11,0.21,WEAK,361.021,81.47580249617859
48.79,44.32,0.37,STRONG,2162.3728,119.7834600447026
46.68,43.84,0.4,STRONG,2046.4512000000002,109.59972600068501
41.36,40.71,0.38,MEDIUM,1683.7656,107.13129702290259
45.31,42.92,0.4,MEDIUM,1944.7052,107.29973175067063
44.95,43.04,0.36,STRONG,1934.6480000000001,119.55522345771263
44.77,41.19,0.4,MEDIUM,1844.0763,102.9747425631436
52.25,42.14,0.4,STRONG,2201.815,105.34973662565844
51.19,42.46,0.43,MEDIUM,2173.5274,98.74395640940371
51.3,41.46,0.42,MEDIUM,2126.898,98.71405068083172
33.46,24.31,6.99,WEAK,813.4126,3.4778249674070145
53.4,41.72,0.37,STRONG,2227.848,112.75645200958917
49.08,41.99,0.38,MEDIUM,2060.8692,110.49970921129156
45.95,44.25,0.56,STRONG,2033.2875000000001,79.01771603979277
46.86,42.47,0.57,MEDIUM,1990.1442,74.50864121291015
48.32,43.34,0.42,STRONG,2094.1888000000004,103.1902304994512
