timestamp,speed,impact,duration,swing_type
116986,38.47,22.54,0.51,WEAK
119682,43.84,25.01,1.24,WEAK
120871,40.66,22.46,0.46,WEAK
122995,31.58,26.90,0.98,WEAK
124800,33.00,27.96,0.85,WEAK
126748,30.71,25.57,0.85,WEAK
128509,32.96,24.33,0.79,WEAK
129753,50.16,29.67,0.37,MEDIUM
131580,44.91,27.21,0.56,MEDIUM
133297,35.49,20.21,0.53,WEAK
135036,43.28,23.00,0.48,WEAK
136577,43.45,23.98,0.50,WEAK
138195,45.70,23.73,0.48,MEDIUM
139758,44.56,23.08,0.45,MEDIUM
141332,45.85,22.77,0.50,MEDIUM
143115,33.70,18.23,0.61,WEAK
144799,44.68,23.32,0.57,MEDIUM
146538,37.22,18.90,0.44,WEAK
148431,35.81,18.75,0.56,WEAK
150214,43.72,22.16,0.46,WEAK
152151,30.54,20.56,0.63,WEAK
154220,32.06,27.42,0.92,WEAK
156069,31.36,22.32,0.66,WEAK
157962,34.49,26.67,0.84,WEAK
159756,30.12,24.51,0.79,WEAK
161583,37.65,19.01,0.64,WEAK
163641,34.59,20.93,1.23,WEAK
165721,34.19,24.76,0.81,WEAK
167141,38.54,28.37,0.48,WEAK
169441,32.63,21.66,0.82,WEAK
171158,31.04,25.01,0.66,WEAK
173436,30.69,17.94,0.91,WEAK
175054,25.39,16.54,0.57,WEAK
176859,32.36,19.72,0.59,WEAK
178488,31.96,19.90,0.64,WEAK
180634,30.46,16.75,0.70,WEAK
182516,31.81,19.88,0.67,WEAK
184189,30.21,20.52,0.63,WEAK
185796,34.93,21.09,0.54,WEAK
187480,33.69,21.42,0.62,WEAK
189494,32.35,21.96,0.80,WEAK
191156,33.43,22.46,0.41,WEAK
193269,35.78,21.95,0.71,WEAK
195250,32.25,29.56,0.37,WEAK
197033,33.43,25.28,0.47,WEAK
198816,31.20,22.80,0.47,WEAK
200379,32.58,19.67,0.33,WEAK
202184,34.44,20.54,0.34,WEAK
204033,32.68,18.14,0.34,WEAK
207884,33.47,18.71,0.54,WEAK
209612,39.60,24.39,0.44,WEAK
211274,44.06,25.84,0.42,MEDIUM
213222,35.22,19.76,0.57,WEAK
215192,35.84,23.17,0.54,WEAK
216997,38.88,22.32,0.45,WEAK
218780,37.43,38.65,0.52,WEAK
220156,42.45,41.66,0.55,WEAK
221939,47.89,43.30,0.51,MEDIUM
223623,50.92,42.14,0.51,STRONG
225879,31.16,18.12,0.54,WEAK
227618,45.10,25.14,0.59,MEDIUM
229379,35.68,21.88,0.54,WEAK
231316,37.80,20.37,0.52,WEAK
233462,30.16,18.83,0.64,WEAK
234849,31.69,26.77,0.37,WEAK
236731,35.02,21.96,0.33,WEAK
238371,36.84,25.65,0.34,WEAK
240066,33.13,23.37,0.32,WEAK
241816,34.47,25.05,0.36,WEAK
243313,38.22,24.71,0.36,WEAK
245151,31.60,17.28,0.81,WEAK
246989,31.46,21.88,0.55,WEAK
249289,33.18,20.63,1.01,WEAK
250753,31.44,23.07,0.52,WEAK
252580,31.26,19.26,0.56,WEAK
254330,32.55,23.25,0.51,WEAK
256135,33.26,23.95,0.62,WEAK
258050,31.87,20.17,0.62,WEAK
259899,31.48,21.96,0.63,WEAK
261781,33.71,27.23,0.79,WEAK
263586,31.31,21.36,1.17,WEAK
265479,32.73,25.87,0.68,WEAK
267317,43.89,23.48,0.90,WEAK
269122,31.08,20.36,1.06,WEAK
270982,30.33,23.50,0.69,WEAK
272952,33.51,19.31,0.78,WEAK
274328,41.75,27.92,0.51,WEAK
